📺央视数字频道,#genre#
兵器科技,https://hls-gateway.vpstv.net/streams/708856.m3u8
兵器科技,https://epg.pw/stream/3738a6459406852b60aec58d7bc5dd3bf4d3890799a2f0563346890738155ff3.m3u8
第一剧场,https://epg.pw/stream/6d7bf281e3d739806a73f5373acaa6e01988ec9739f5ac1355ce54b47a928472.m3u8
第一剧场,https://hls-gateway.vpstv.net/streams/708862.m3u8
发现之旅,http://goo.bkpcp.top/mg/fxzl
风云剧场,https://hls-gateway.vpstv.net/streams/708861.m3u8
风云剧场,http://max.token.iptv.xin:2052/live/fetch/iptv.xin.ly_295
风云音乐,https://hls-gateway.vpstv.net/streams/708858.m3u8
风云音乐,http://max.token.iptv.xin:2052/live/fetch/iptv.xin.ly_298
风云足球,https://epg.pw/stream/ac8062ec9484078061d3bef507c15a423ac57ae4144e3fcc4b0a198dd420f911.m3u80
风云足球,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
央视台球,https://epg.pw/stream/25677ac2e8c1f7c3dd6359c43eb5f0f54efb3f5c11f9dda18d01b3e0308ed017.m3u8
央视台球,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
高尔夫网球,https://hls-gateway.vpstv.net/streams/708857.m3u8
高尔夫网球,http://max.token.iptv.xin:2052/live/fetch/iptv.xin.ly_300
怀旧剧场,https://hls-gateway.vpstv.net/streams/708853.m3u8
怀旧剧场,http://max.token.iptv.xin:2052/live/fetch/iptv.xin.ly_296
老故事,https://cdn3.163189.xyz/live/cwjd/stream.m3u8
老故事,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
女性时尚,http://max.token.iptv.xin:2052/live/fetch/iptv.xin.ly_301
女性时尚,http://ott.mobaibox.com/PLTV/3/224/3221228674/index.m3u8
世界地理,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
世界地理,http://max.token.iptv.xin:2052/live/fetch/iptv.xin.ly_297
文化精品,https://hls-gateway.vpstv.net/streams/708832.m3u8
文化精品,http://max.token.iptv.xin:2052/live/fetch/iptv.xin.ly_302
中学生,http://goo.bkpcp.top/mg/zxs
重温经典,https://cdn3.163189.xyz/live/cwjd/stream.m3u8
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
